date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.64,2.69,2.64,2.67,2.67,4001563.0,0.0,1.0,SCP
2018-12-12,2.68,2.685,2.64,2.66,2.66,2603113.0,0.0,1.0,SCP
2018-12-11,2.67,2.69,2.645,2.67,2.67,3689134.0,0.0,1.0,SCP
2018-12-10,2.65,2.68,2.635,2.65,2.65,3142561.0,0.0,1.0,SCP
2018-12-09,2.72,2.73,2.66,2.67,2.67,3080838.0,0.0,1.0,SCP
2018-12-06,2.7,2.73,2.69,2.73,2.73,3404311.0,0.0,1.0,SCP
2018-12-05,2.67,2.73,2.66,2.73,2.73,4067990.0,0.0,1.0,SCP
2018-12-04,2.67,2.71,2.66,2.68,2.68,6716014.0,0.0,1.0,SCP
2018-12-03,2.66,2.68,2.64,2.66,2.66,2289279.0,0.0,1.0,SCP
2018-12-02,2.66,2.68,2.64,2.67,2.67,2072030.0,0.0,1.0,SCP
2018-11-29,2.69,2.69,2.63,2.64,2.64,5042658.0,0.0,1.0,SCP
2018-11-28,2.74,2.74,2.68,2.7,2.7,4188138.0,0.0,1.0,SCP
2018-11-27,2.69,2.74,2.65,2.74,2.74,9089396.0,0.0,1.0,SCP
2018-11-26,2.66,2.68,2.62,2.66,2.66,3047343.0,0.0,1.0,SCP
2018-11-25,2.62,2.69,2.61,2.67,2.67,7160643.0,0.0,1.0,SCP
2018-11-22,2.59,2.63,2.57,2.63,2.63,3000936.0,0.0,1.0,SCP
2018-11-21,2.58,2.63,2.58,2.62,2.62,4504971.0,0.0,1.0,SCP
2018-11-20,2.57,2.605,2.54,2.59,2.59,3478037.0,0.0,1.0,SCP
2018-11-19,2.57,2.59,2.56,2.57,2.57,1696715.0,0.0,1.0,SCP
2018-11-18,2.58,2.59,2.57,2.58,2.58,2088522.0,0.0,1.0,SCP
2018-11-15,2.58,2.595,2.56,2.59,2.59,3042385.0,0.0,1.0,SCP
2018-11-14,2.6,2.62,2.55,2.59,2.59,3369642.0,0.0,1.0,SCP
2018-11-13,2.64,2.66,2.6,2.6,2.6,2609361.0,0.0,1.0,SCP
2018-11-12,2.6,2.655,2.6,2.64,2.64,2399664.0,0.0,1.0,SCP
2018-11-11,2.64,2.665,2.62,2.62,2.62,2705744.0,0.0,1.0,SCP
2018-11-08,2.62,2.65,2.59,2.62,2.62,3254589.0,0.0,1.0,SCP
2018-11-07,2.61,2.62,2.58,2.61,2.61,2270352.0,0.0,1.0,SCP
2018-11-06,2.57,2.61,2.57,2.59,2.59,3741236.0,0.0,1.0,SCP
2018-11-05,2.51,2.56,2.51,2.55,2.55,1308776.0,0.0,1.0,SCP
2018-11-04,2.53,2.54,2.5,2.52,2.52,2872607.0,0.0,1.0,SCP
2018-11-01,2.52,2.56,2.51,2.54,2.54,6028514.0,0.0,1.0,SCP
2018-10-31,2.55,2.57,2.51,2.53,2.53,2772753.0,0.0,1.0,SCP
2018-10-30,2.57,2.62,2.56,2.57,2.57,3994791.0,0.0,1.0,SCP
2018-10-29,2.6,2.6,2.55,2.58,2.58,6205154.0,0.0,1.0,SCP
2018-10-28,2.6,2.67,2.595,2.65,2.65,7423843.0,0.0,1.0,SCP
2018-10-25,2.57,2.6,2.56,2.59,2.59,8202881.0,0.0,1.0,SCP
2018-10-24,2.56,2.58,2.55,2.57,2.57,5281915.0,0.0,1.0,SCP
2018-10-23,2.54,2.57,2.535,2.57,2.57,5825985.0,0.0,1.0,SCP
2018-10-22,2.54,2.56,2.53,2.54,2.54,3899087.0,0.0,1.0,SCP
2018-10-21,2.52,2.57,2.51,2.54,2.54,5452245.0,0.0,1.0,SCP
2018-10-18,2.46,2.53,2.46,2.53,2.53,3407556.0,0.0,1.0,SCP
2018-10-17,2.46,2.49,2.46,2.49,2.49,4043752.0,0.0,1.0,SCP
2018-10-16,2.42,2.47,2.4,2.47,2.47,5945324.0,0.0,1.0,SCP
2018-10-15,2.4,2.41,2.375,2.39,2.39,2920688.0,0.0,1.0,SCP
2018-10-14,2.36,2.4,2.36,2.4,2.4,5085100.0,0.0,1.0,SCP
2018-10-11,2.37,2.4,2.36,2.38,2.38,9045294.0,0.0,1.0,SCP
2018-10-10,2.36,2.4,2.35,2.39,2.39,8171632.0,0.0,1.0,SCP
2018-10-09,2.39,2.41,2.36,2.39,2.39,6267876.0,0.0,1.0,SCP
2018-10-08,2.39,2.4,2.38,2.4,2.4,2863611.0,0.0,1.0,SCP
2018-10-07,2.37,2.4,2.37,2.39,2.39,4030757.0,0.0,1.0,SCP
2018-10-05,2.33,2.38,2.33,2.37,2.37,3820912.0,0.0,1.0,SCP
2018-10-04,2.32,2.35,2.32,2.34,2.34,7096425.0,0.0,1.0,SCP
2018-10-03,2.4,2.41,2.37,2.37,2.37,1969218.0,0.0,1.0,SCP
2018-10-02,2.4,2.41,2.37,2.37,2.37,1969218.0,0.0,1.0,SCP
2018-10-01,2.4,2.415,2.39,2.4,2.4,769727.0,0.0,1.0,SCP
2018-09-28,2.42,2.45,2.4,2.4,2.4,1491624.0,0.0,1.0,SCP
2018-09-27,2.4,2.43,2.395,2.42,2.42,2354680.0,0.0,1.0,SCP
2018-09-26,2.42,2.43,2.4,2.41,2.41,1307252.0,0.0,1.0,SCP
2018-09-25,2.42,2.43,2.4,2.42,2.42,2145942.0,0.0,1.0,SCP
2018-09-24,2.4,2.44,2.4,2.44,2.44,1706971.0,0.0,1.0,SCP
2018-09-21,2.41,2.425,2.4,2.4,2.4,3317131.0,0.0,1.0,SCP
2018-09-20,2.43,2.455,2.41,2.41,2.41,4107346.0,0.0,1.0,SCP
2018-09-19,2.47,2.49,2.46,2.47,2.47,1695681.0,0.0,1.0,SCP
2018-09-18,2.47,2.49,2.47,2.48,2.48,1432060.0,0.0,1.0,SCP
2018-09-17,2.46,2.49,2.46,2.48,2.48,1016134.0,0.0,1.0,SCP
2018-09-14,2.46,2.48,2.46,2.46,2.46,2089005.0,0.0,1.0,SCP
2018-09-13,2.46,2.49,2.46,2.47,2.47,1468877.0,0.0,1.0,SCP
2018-09-12,2.43,2.48,2.43,2.48,2.48,1240168.0,0.0,1.0,SCP
2018-09-11,2.44,2.47,2.43,2.46,2.46,1746835.0,0.0,1.0,SCP
2018-09-10,2.44,2.45,2.43,2.43,2.43,1600130.0,0.0,1.0,SCP
2018-09-07,2.41,2.46,2.4,2.46,2.46,1723188.0,0.0,1.0,SCP
2018-09-06,2.41,2.43,2.405,2.42,2.42,2166773.0,0.0,1.0,SCP
2018-09-05,2.42,2.43,2.4,2.43,2.43,1889219.0,0.0,1.0,SCP
2018-09-04,2.41,2.42,2.4,2.41,2.41,1401648.0,0.0,1.0,SCP
2018-09-03,2.42,2.42,2.4,2.41,2.41,817546.0,0.0,1.0,SCP
2018-08-31,2.39,2.42,2.39,2.41,2.41,1842621.0,0.0,1.0,SCP
2018-08-30,2.41,2.42,2.39,2.4,2.4,2002799.0,0.0,1.0,SCP
2018-08-29,2.39,2.41,2.38,2.4,2.4,2384871.0,0.0,1.0,SCP
2018-08-28,2.38,2.39,2.37,2.39,2.39,2330681.0,0.0,1.0,SCP
2018-08-27,2.38,2.41,2.37,2.38,2.38,2377249.0,0.0,1.0,SCP
