date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-12,0.044,0.42,0.041,0.42,0.42,26659689.0,0.0,1.0,SEA
2018-12-11,0.44,0.46,0.41,0.42,0.42,2665969.0,0.0,1.0,SEA
2018-12-10,0.46,0.46,0.42,0.43,0.43,5601265.0,0.0,1.0,SEA
2018-12-09,0.48,0.48,0.45,0.47,0.47,2675737.0,0.0,1.0,SEA
2018-12-06,0.48,0.49,0.47,0.47,0.47,1363207.0,0.0,1.0,SEA
2018-12-05,0.49,0.49,0.47,0.48,0.48,2282131.0,0.0,1.0,SEA
2018-12-04,0.49,0.49,0.47,0.47,0.47,5543462.0,0.0,1.0,SEA
2018-12-03,0.56,0.56,0.47,0.5,0.5,7248011.0,0.0,1.0,SEA
2018-12-02,0.53,0.57,0.52,0.54,0.54,6641725.0,0.0,1.0,SEA
2018-11-29,0.51,0.53,0.51,0.51,0.51,5018015.0,0.0,1.0,SEA
2018-11-28,0.5,0.51,0.48,0.5,0.5,2306939.0,0.0,1.0,SEA
2018-11-27,0.49,0.51,0.48,0.51,0.51,6737614.0,0.0,1.0,SEA
2018-11-26,0.53,0.54,0.48,0.51,0.51,7174785.0,0.0,1.0,SEA
2018-11-25,0.53,0.54,0.5,0.51,0.51,4159834.0,0.0,1.0,SEA
2018-11-22,0.57,0.57,0.55,0.56,0.56,1670237.0,0.0,1.0,SEA
2018-11-21,0.59,0.59,0.54,0.57,0.57,4451362.0,0.0,1.0,SEA
2018-11-20,0.58,0.59,0.55,0.56,0.56,6142358.0,0.0,1.0,SEA
2018-11-19,0.64,0.67,0.62,0.63,0.63,3109886.0,0.0,1.0,SEA
2018-11-18,0.7,0.7,0.64,0.65,0.65,1514075.0,0.0,1.0,SEA
2018-11-15,0.71,0.72,0.68,0.69,0.69,3010453.0,0.0,1.0,SEA
2018-11-14,0.72,0.73,0.67,0.69,0.69,4126225.0,0.0,1.0,SEA
2018-11-13,0.71,0.73,0.68,0.7,0.7,6826747.0,0.0,1.0,SEA
2018-11-12,0.77,0.79,0.74,0.79,0.79,2359748.0,0.0,1.0,SEA
2018-11-11,0.8,0.8,0.78,0.8,0.8,3763013.0,0.0,1.0,SEA
2018-11-08,0.8,0.8,0.78,0.8,0.8,2330333.0,0.0,1.0,SEA
2018-11-07,0.82,0.83,0.79,0.82,0.82,2151198.0,0.0,1.0,SEA
2018-11-06,0.82,0.83,0.81,0.82,0.82,2140732.0,0.0,1.0,SEA
2018-11-05,0.8,0.84,0.8,0.84,0.84,1906419.0,0.0,1.0,SEA
2018-11-04,0.81,0.81,0.8,0.8,0.8,946585.0,0.0,1.0,SEA
2018-11-01,0.81,0.82,0.8,0.82,0.82,2503533.0,0.0,1.0,SEA
2018-10-31,0.84,0.84,0.82,0.83,0.83,1005309.0,0.0,1.0,SEA
2018-10-30,0.85,0.85,0.82,0.84,0.84,1919859.0,0.0,1.0,SEA
2018-10-29,0.86,0.87,0.83,0.85,0.85,3840246.0,0.0,1.0,SEA
2018-10-28,0.83,0.89,0.8,0.88,0.88,3835644.0,0.0,1.0,SEA
2018-10-25,0.83,0.83,0.8,0.82,0.82,2498013.0,0.0,1.0,SEA
2018-10-24,0.82,0.83,0.77,0.81,0.81,6540967.0,0.0,1.0,SEA
2018-10-23,0.85,0.86,0.83,0.85,0.85,2291516.0,0.0,1.0,SEA
2018-10-22,0.89,0.89,0.86,0.88,0.88,2486646.0,0.0,1.0,SEA
2018-10-21,0.91,0.91,0.88,0.9,0.9,661506.0,0.0,1.0,SEA
2018-10-18,0.89,0.92,0.88,0.91,0.91,1391568.0,0.0,1.0,SEA
2018-10-17,0.91,0.92,0.88,0.9,0.9,1974711.0,0.0,1.0,SEA
2018-10-16,0.93,0.96,0.92,0.94,0.94,1760010.0,0.0,1.0,SEA
2018-10-15,0.87,0.93,0.86,0.92,0.92,2873809.0,0.0,1.0,SEA
2018-10-14,0.91,0.91,0.86,0.88,0.88,1721087.0,0.0,1.0,SEA
2018-10-11,0.9,0.91,0.89,0.9,0.9,4600796.0,0.0,1.0,SEA
2018-10-10,0.9,0.95,0.88,0.92,0.92,12445771.0,0.0,1.0,SEA
2018-10-09,0.95,0.99,0.94,0.96,0.96,3903779.0,0.0,1.0,SEA
2018-10-08,0.92,1.05,0.92,0.95,0.95,14959462.0,0.0,1.0,SEA
2018-10-07,0.89,0.89,0.84,0.88,0.88,2542288.0,0.0,1.0,SEA
2018-10-05,0.88,0.905,0.87,0.9,0.9,2227262.0,0.0,1.0,SEA
2018-10-04,0.88,0.92,0.87,0.91,0.91,6771053.0,0.0,1.0,SEA
