date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.725,1.725,1.68,1.7,1.7,1075179.0,0.0,1.0,SSM
2018-12-12,1.68,1.74,1.675,1.725,1.725,381762.0,0.0,1.0,SSM
2018-12-11,1.695,1.695,1.665,1.68,1.68,400614.0,0.0,1.0,SSM
2018-12-10,1.695,1.695,1.65,1.685,1.685,580233.0,0.0,1.0,SSM
2018-12-09,1.68,1.68,1.65,1.66,1.66,403711.0,0.0,1.0,SSM
2018-12-06,1.685,1.7,1.68,1.695,1.695,359590.0,0.0,1.0,SSM
2018-12-05,1.705,1.715,1.625,1.625,1.625,453920.0,0.0,1.0,SSM
2018-12-04,1.72,1.73,1.695,1.71,1.71,378685.0,0.0,1.0,SSM
2018-12-03,1.825,1.825,1.74,1.76,1.76,888821.0,0.0,1.0,SSM
2018-12-02,1.81,1.885,1.79,1.815,1.815,1220280.0,0.0,1.0,SSM
2018-11-29,1.73,1.795,1.73,1.78,1.78,1110473.0,0.0,1.0,SSM
2018-11-28,1.7,1.81,1.7,1.78,1.78,489451.0,0.0,1.0,SSM
2018-11-27,1.68,1.722,1.67,1.705,1.705,353538.0,0.0,1.0,SSM
2018-11-26,1.66,1.69,1.635,1.69,1.69,177210.0,0.0,1.0,SSM
2018-11-25,1.685,1.69,1.65,1.685,1.685,369211.0,0.0,1.0,SSM
2018-11-22,1.67,1.69,1.67,1.685,1.685,2682928.0,0.0,1.0,SSM
2018-11-21,1.68,1.69,1.67,1.69,1.69,171271.0,0.0,1.0,SSM
2018-11-20,1.71,1.735,1.68,1.685,1.685,388921.0,0.0,1.0,SSM
2018-11-19,1.705,1.72,1.685,1.71,1.71,170836.0,0.0,1.0,SSM
2018-11-18,1.69,1.735,1.69,1.705,1.705,263328.0,0.0,1.0,SSM
2018-11-15,1.7,1.71,1.655,1.69,1.69,405958.0,0.0,1.0,SSM
2018-11-14,1.69,1.71,1.685,1.695,1.695,740377.0,0.0,1.0,SSM
2018-11-13,1.705,1.74,1.655,1.695,1.695,1018976.0,0.0,1.0,SSM
2018-11-12,1.72,1.72,1.682,1.705,1.705,520451.0,0.0,1.0,SSM
2018-11-11,1.61,1.77,1.61,1.72,1.72,1031432.0,0.0,1.0,SSM
2018-11-08,1.63,1.635,1.605,1.635,1.635,397439.0,0.0,1.0,SSM
2018-11-07,1.655,1.66,1.62,1.64,1.64,166636.0,0.0,1.0,SSM
2018-11-06,1.62,1.65,1.62,1.65,1.65,484426.0,0.0,1.0,SSM
2018-11-05,1.65,1.66,1.615,1.625,1.625,510343.0,0.0,1.0,SSM
2018-11-04,1.655,1.66,1.625,1.65,1.65,318748.0,0.0,1.0,SSM
2018-11-01,1.6,1.67,1.6,1.66,1.66,406403.0,0.0,1.0,SSM
2018-10-31,1.585,1.6,1.56,1.595,1.595,269161.0,0.0,1.0,SSM
2018-10-30,1.59,1.62,1.54,1.59,1.59,946393.0,0.0,1.0,SSM
2018-10-29,1.5,1.58,1.47,1.56,1.56,4465018.0,0.0,1.0,SSM
2018-10-28,1.58,1.585,1.5,1.515,1.515,1220169.0,0.0,1.0,SSM
2018-10-25,1.59,1.63,1.57,1.58,1.58,701028.0,0.0,1.0,SSM
2018-10-24,1.6,1.627,1.56,1.57,1.57,808379.0,0.0,1.0,SSM
2018-10-23,1.7,1.7,1.615,1.63,1.63,663599.0,0.0,1.0,SSM
2018-10-22,1.725,1.725,1.65,1.68,1.68,354280.0,0.0,1.0,SSM
2018-10-21,1.71,1.735,1.66,1.73,1.73,247857.0,0.0,1.0,SSM
2018-10-18,1.735,1.735,1.68,1.69,1.69,485010.0,0.0,1.0,SSM
2018-10-17,1.71,1.735,1.695,1.71,1.71,338223.0,0.0,1.0,SSM
2018-10-16,1.69,1.737,1.685,1.705,1.705,688547.0,0.0,1.0,SSM
2018-10-15,1.64,1.682,1.64,1.67,1.67,178941.0,0.0,1.0,SSM
2018-10-14,1.66,1.675,1.62,1.65,1.65,408624.0,0.0,1.0,SSM
2018-10-11,1.61,1.69,1.61,1.655,1.655,271085.0,0.0,1.0,SSM
2018-10-10,1.64,1.65,1.605,1.645,1.645,551339.0,0.0,1.0,SSM
2018-10-09,1.73,1.73,1.66,1.68,1.68,458291.0,0.0,1.0,SSM
2018-10-08,1.78,1.78,1.702,1.72,1.72,453697.0,0.0,1.0,SSM
2018-10-07,1.785,1.795,1.77,1.775,1.775,326273.0,0.0,1.0,SSM
2018-10-05,1.77,1.78,1.76,1.78,1.78,207452.0,0.0,1.0,SSM
2018-10-04,1.765,1.785,1.755,1.775,1.775,231115.0,0.0,1.0,SSM
2018-10-03,1.795,1.795,1.742,1.75,1.75,464447.0,0.0,1.0,SSM
2018-10-02,1.74,1.8,1.73,1.795,1.795,528374.0,0.0,1.0,SSM
