date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,5.65,5.69,5.46,5.5,5.5,8356977.0,0.0,1.0,STO
2018-12-12,5.73,5.77,5.6,5.63,5.63,6586310.0,0.0,1.0,STO
2018-12-11,5.69,5.8,5.67,5.69,5.69,10696523.0,0.0,1.0,STO
2018-12-10,5.7,5.72,5.59,5.65,5.65,5309012.0,0.0,1.0,STO
2018-12-09,5.58,5.74,5.525,5.69,5.69,6314721.0,0.0,1.0,STO
2018-12-06,5.64,5.73,5.56,5.61,5.61,7227400.0,0.0,1.0,STO
2018-12-05,5.69,5.75,5.62,5.64,5.64,9093889.0,0.0,1.0,STO
2018-12-04,5.75,5.82,5.63,5.72,5.72,6741823.0,0.0,1.0,STO
2018-12-03,5.96,5.99,5.81,5.85,5.85,8367929.0,0.0,1.0,STO
2018-12-02,5.65,6.01,5.64,6.0,6.0,10762494.0,0.0,1.0,STO
2018-11-29,5.68,5.72,5.52,5.52,5.52,11420459.0,0.0,1.0,STO
2018-11-28,5.57,5.69,5.55,5.64,5.64,7044526.0,0.0,1.0,STO
2018-11-27,5.64,5.66,5.53,5.59,5.59,7659187.0,0.0,1.0,STO
2018-11-26,5.58,5.66,5.53,5.6,5.6,6600707.0,0.0,1.0,STO
2018-11-25,5.63,5.64,5.45,5.49,5.49,7463067.0,0.0,1.0,STO
2018-11-22,5.75,5.79,5.7,5.76,5.76,2371040.0,0.0,1.0,STO
2018-11-21,5.7,5.82,5.68,5.78,5.78,5173527.0,0.0,1.0,STO
2018-11-20,5.76,5.795,5.69,5.72,5.72,8278609.0,0.0,1.0,STO
2018-11-19,6.15,6.15,5.96,5.98,5.98,4601157.0,0.0,1.0,STO
2018-11-18,6.1,6.11,6.05,6.1,6.1,4667431.0,0.0,1.0,STO
2018-11-15,6.3,6.345,6.17,6.17,6.17,4225327.0,0.0,1.0,STO
2018-11-14,6.09,6.22,6.08,6.21,6.21,6693614.0,0.0,1.0,STO
2018-11-13,6.24,6.3,6.03,6.06,6.06,9096708.0,0.0,1.0,STO
2018-11-12,6.36,6.455,6.35,6.38,6.38,6753997.0,0.0,1.0,STO
2018-11-11,6.35,6.61,6.35,6.5,6.5,5352153.0,0.0,1.0,STO
2018-11-08,6.44,6.495,6.36,6.42,6.42,5831900.0,0.0,1.0,STO
2018-11-07,6.5,6.565,6.48,6.49,6.49,3014936.0,0.0,1.0,STO
2018-11-06,6.44,6.53,6.4,6.48,6.48,3812252.0,0.0,1.0,STO
2018-11-05,6.36,6.525,6.35,6.5,6.5,3397637.0,0.0,1.0,STO
2018-11-04,6.37,6.44,6.345,6.37,6.37,3819365.0,0.0,1.0,STO
2018-11-01,6.44,6.475,6.36,6.47,6.47,6773165.0,0.0,1.0,STO
2018-10-31,6.64,6.68,6.5,6.56,6.56,6207054.0,0.0,1.0,STO
2018-10-30,6.62,6.68,6.56,6.64,6.64,7080193.0,0.0,1.0,STO
2018-10-29,6.52,6.685,6.5,6.67,6.67,6316871.0,0.0,1.0,STO
2018-10-28,6.55,6.66,6.55,6.62,6.62,3293350.0,0.0,1.0,STO
2018-10-25,6.61,6.7,6.5,6.63,6.63,11358043.0,0.0,1.0,STO
2018-10-24,6.63,6.71,6.585,6.65,6.65,8044447.0,0.0,1.0,STO
2018-10-23,6.79,6.79,6.69,6.76,6.76,9327682.0,0.0,1.0,STO
2018-10-22,7.16,7.24,6.86,6.93,6.93,12678678.0,0.0,1.0,STO
2018-10-21,7.08,7.175,7.07,7.13,7.13,3396031.0,0.0,1.0,STO
2018-10-18,6.96,7.115,6.96,7.1,7.1,8210776.0,0.0,1.0,STO
