date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,7.27,7.35,7.15,7.17,7.17,379814.0,0.0,1.0,SUL
2018-12-12,7.17,7.7,7.17,7.34,7.34,1117249.0,0.0,1.0,SUL
2018-12-11,7.09,7.26,7.09,7.25,7.25,1889381.0,0.0,1.0,SUL
2018-12-10,7.08,7.11,6.92,7.04,7.04,794144.0,0.0,1.0,SUL
2018-12-09,7.3,7.34,7.04,7.07,7.07,697337.0,0.0,1.0,SUL
2018-12-06,7.45,7.54,7.3,7.35,7.35,721634.0,0.0,1.0,SUL
2018-12-05,7.29,7.525,7.28,7.46,7.46,850421.0,0.0,1.0,SUL
2018-12-04,7.38,7.455,7.125,7.28,7.28,866647.0,0.0,1.0,SUL
2018-12-03,7.51,7.66,7.4,7.41,7.41,757431.0,0.0,1.0,SUL
2018-12-02,7.5,7.65,7.4,7.61,7.61,782995.0,0.0,1.0,SUL
2018-11-29,7.44,7.48,7.28,7.32,7.32,887510.0,0.0,1.0,SUL
2018-11-28,7.41,7.57,7.34,7.54,7.54,584483.0,0.0,1.0,SUL
2018-11-27,7.59,7.62,7.42,7.43,7.43,773929.0,0.0,1.0,SUL
2018-11-26,7.52,7.63,7.35,7.59,7.59,963017.0,0.0,1.0,SUL
2018-11-25,7.24,7.55,7.21,7.52,7.52,1671673.0,0.0,1.0,SUL
2018-11-22,7.05,7.25,7.05,7.19,7.19,1205624.0,0.0,1.0,SUL
2018-11-21,6.89,7.03,6.89,6.95,6.95,883256.0,0.0,1.0,SUL
2018-11-20,7.02,7.06,6.83,6.91,6.91,785419.0,0.0,1.0,SUL
2018-11-19,7.11,7.18,7.0,7.11,7.11,1050240.0,0.0,1.0,SUL
2018-11-18,7.26,7.285,7.095,7.15,7.15,1132747.0,0.0,1.0,SUL
2018-11-15,7.41,7.42,7.17,7.27,7.27,1154936.0,0.0,1.0,SUL
2018-11-14,7.43,7.6,7.34,7.41,7.41,802537.0,0.0,1.0,SUL
2018-11-13,7.56,7.695,7.38,7.43,7.43,1005972.0,0.0,1.0,SUL
2018-11-12,7.7,7.74,7.53,7.57,7.57,746224.0,0.0,1.0,SUL
2018-11-11,7.73,7.81,7.67,7.78,7.78,800067.0,0.0,1.0,SUL
2018-11-08,7.75,7.82,7.71,7.75,7.75,781956.0,0.0,1.0,SUL
2018-11-07,7.71,7.88,7.71,7.84,7.84,964469.0,0.0,1.0,SUL
2018-11-06,7.38,7.64,7.38,7.63,7.63,1029491.0,0.0,1.0,SUL
2018-11-05,7.25,7.42,7.25,7.35,7.35,1226373.0,0.0,1.0,SUL
2018-11-04,7.45,7.58,7.21,7.27,7.27,1002431.0,0.0,1.0,SUL
2018-11-01,7.24,7.52,7.23,7.51,7.51,829029.0,0.0,1.0,SUL
2018-10-31,7.19,7.36,7.18,7.35,7.35,880292.0,0.0,1.0,SUL
2018-10-30,7.41,7.54,7.18,7.22,7.22,1545563.0,0.0,1.0,SUL
2018-10-29,7.37,7.5,7.145,7.47,7.47,1455167.0,0.0,1.0,SUL
2018-10-28,7.5,7.54,7.335,7.38,7.38,1205879.0,0.0,1.0,SUL
2018-10-25,7.5,7.71,7.4,7.46,7.46,2429633.0,0.0,1.0,SUL
2018-10-24,8.15,8.15,7.45,7.48,7.48,3070608.0,0.0,1.0,SUL
2018-10-23,9.37,9.44,8.06,8.33,8.33,4763022.0,0.0,1.0,SUL
2018-10-22,9.35,9.515,9.29,9.35,9.35,674426.0,0.0,1.0,SUL
2018-10-21,9.37,9.52,9.14,9.3,9.3,1159486.0,0.0,1.0,SUL
2018-10-18,9.39,9.46,9.24,9.38,9.38,721476.0,0.0,1.0,SUL
2018-10-17,9.18,9.41,9.18,9.35,9.35,926294.0,0.0,1.0,SUL
2018-10-16,9.28,9.3,9.09,9.12,9.12,756508.0,0.0,1.0,SUL
2018-10-15,9.17,9.31,9.15,9.28,9.28,2047098.0,0.0,1.0,SUL
2018-10-14,9.15,9.25,9.13,9.17,9.17,617664.0,0.0,1.0,SUL
2018-10-11,9.15,9.34,9.07,9.23,9.23,1230584.0,0.0,1.0,SUL
2018-10-10,9.2,9.27,9.12,9.18,9.18,2444627.0,0.0,1.0,SUL
2018-10-09,9.02,9.31,8.98,9.3,9.3,1001637.0,0.0,1.0,SUL
2018-10-08,8.81,9.035,8.81,9.02,9.02,1077629.0,0.0,1.0,SUL
2018-10-07,8.74,8.955,8.685,8.93,8.93,795762.0,0.0,1.0,SUL
2018-10-05,8.82,8.85,8.69,8.73,8.73,485507.0,0.0,1.0,SUL
2018-10-04,8.89,8.93,8.8,8.86,8.86,807964.0,0.0,1.0,SUL
2018-10-03,8.82,8.99,8.75,8.88,8.88,936882.0,0.0,1.0,SUL
2018-10-02,8.79,8.91,8.77,8.79,8.79,556973.0,0.0,1.0,SUL
2018-10-01,8.85,8.875,8.765,8.84,8.84,247229.0,0.0,1.0,SUL
2018-09-28,8.95,8.96,8.83,8.87,8.87,688856.0,0.0,1.0,SUL
2018-09-27,8.91,8.94,8.81,8.86,8.86,542313.0,0.0,1.0,SUL
2018-09-26,8.88,8.89,8.73,8.84,8.84,939185.0,0.0,1.0,SUL
2018-09-25,8.79,8.81,8.73,8.8,8.8,1183971.0,0.0,1.0,SUL
2018-09-24,8.65,8.81,8.65,8.79,8.79,649281.0,0.0,1.0,SUL
2018-09-21,8.78,8.82,8.73,8.76,8.76,874966.0,0.0,1.0,SUL
2018-09-20,8.68,8.78,8.67,8.78,8.78,954251.0,0.0,1.0,SUL
2018-09-19,8.62,8.88,8.61,8.77,8.77,886666.0,0.0,1.0,SUL
2018-09-18,8.71,8.81,8.58,8.65,8.65,932876.0,0.0,1.0,SUL
2018-09-17,8.55,8.75,8.52,8.71,8.71,643913.0,0.0,1.0,SUL
2018-09-14,8.68,8.74,8.53,8.55,8.55,641501.0,0.0,1.0,SUL
2018-09-13,8.74,8.85,8.67,8.72,8.72,454359.0,0.0,1.0,SUL
2018-09-12,8.77,8.935,8.74,8.85,8.85,593632.0,0.0,1.0,SUL
2018-09-11,8.84,8.91,8.83,8.88,8.88,595404.0,0.0,1.0,SUL
2018-09-10,8.96,9.09,8.805,8.92,8.92,772475.0,0.0,1.0,SUL
2018-09-07,9.01,9.06,8.88,8.92,8.92,459383.0,0.0,1.0,SUL
2018-09-06,9.21,9.31,9.19,9.2,9.2,437601.0,0.0,1.0,SUL
2018-09-05,9.25,9.38,9.18,9.31,9.31,920812.0,0.0,1.0,SUL
2018-09-04,9.18,9.29,9.14,9.18,9.18,767204.0,0.0,1.0,SUL
2018-09-03,9.36,9.48,9.13,9.18,9.18,909310.0,0.0,1.0,SUL
2018-08-31,9.5,9.5,9.34,9.35,9.35,1130239.0,0.0,1.0,SUL
2018-08-30,9.6,9.65,9.46,9.51,9.51,985761.0,0.0,1.0,SUL
2018-08-29,9.5,9.645,9.39,9.59,9.59,932484.0,0.0,1.0,SUL
2018-08-28,9.8,9.96,9.73,9.91,9.635,1154404.0,0.0,1.0,SUL
2018-08-27,9.63,9.81,9.49,9.8,9.5281,909316.0,0.0,1.0,SUL
2018-08-24,9.84,9.905,9.615,9.64,9.3725,1250727.0,0.0,1.0,SUL
2018-08-23,10.09,10.11,9.84,9.87,9.5961,1435510.0,0.0,1.0,SUL
2018-08-22,10.17,10.34,9.92,10.0,9.7225,1913926.0,0.0,1.0,SUL
2018-08-21,10.0,10.44,9.72,9.86,9.5864,3999382.0,0.0,1.0,SUL
2018-08-20,8.94,9.14,8.92,9.11,8.8572,846240.0,0.0,1.0,SUL
2018-08-17,8.81,8.915,8.81,8.9,8.653,1182962.0,0.0,1.0,SUL
2018-08-16,8.78,8.86,8.73,8.8,8.5558,1109857.0,0.0,1.0,SUL
2018-08-15,8.72,8.86,8.67,8.85,8.6044,789843.0,0.0,1.0,SUL
2018-08-14,8.57,8.71,8.57,8.7,8.4586,1105603.0,0.0,1.0,SUL
2018-08-13,8.58,8.6,8.51,8.51,8.2738,627042.0,0.0,1.0,SUL
2018-08-10,8.64,8.675,8.53,8.59,8.3516,776325.0,0.0,1.0,SUL
2018-08-09,8.5,8.605,8.5,8.55,8.3127,521333.0,0.0,1.0,SUL
2018-08-08,8.63,8.7,8.36,8.46,8.2252,1252401.0,0.0,1.0,SUL
2018-08-07,8.76,8.81,8.63,8.69,8.4489,816015.0,0.0,1.0,SUL
2018-08-06,8.88,8.88,8.73,8.75,8.5072,628108.0,0.0,1.0,SUL
2018-08-03,8.9,9.05,8.79,8.8,8.5558,1169002.0,0.0,1.0,SUL
2018-08-02,9.22,9.26,9.0,9.06,8.8086,594047.0,0.0,1.0,SUL
2018-08-01,9.26,9.29,9.16,9.21,8.9544,1756581.0,0.0,1.0,SUL
2018-07-31,9.18,9.28,9.075,9.24,8.9836,875672.0,0.0,1.0,SUL
2018-07-30,9.23,9.26,9.13,9.2,8.9447,322421.0,0.0,1.0,SUL
2018-07-27,9.0,9.255,8.99,9.24,8.9836,782618.0,0.0,1.0,SUL
2018-07-26,8.95,9.12,8.935,9.03,8.7794,1099243.0,0.0,1.0,SUL
2018-07-25,9.0,9.0,8.89,8.9,8.653,1173744.0,0.0,1.0,SUL
2018-07-24,8.84,9.03,8.8,9.0,8.7503,735369.0,0.0,1.0,SUL
2018-07-23,8.85,8.88,8.77,8.85,8.6044,567224.0,0.0,1.0,SUL
2018-07-20,8.95,8.95,8.84,8.89,8.6433,369295.0,0.0,1.0,SUL
2018-07-19,8.75,9.055,8.75,8.88,8.6336,1575576.0,0.0,1.0,SUL
2018-07-18,8.77,8.83,8.66,8.71,8.4683,489135.0,0.0,1.0,SUL
2018-07-17,8.63,8.78,8.54,8.75,8.5072,1119508.0,0.0,1.0,SUL
2018-07-16,8.5,8.71,8.48,8.66,8.4197,446888.0,0.0,1.0,SUL
2018-07-13,8.49,8.56,8.41,8.44,8.2058,522152.0,0.0,1.0,SUL
2018-07-12,8.36,8.57,8.33,8.5,8.2641,546025.0,0.0,1.0,SUL
2018-07-11,8.62,8.64,8.285,8.33,8.0988,843790.0,0.0,1.0,SUL
2018-07-10,8.41,8.67,8.38,8.63,8.3905,579855.0,0.0,1.0,SUL
2018-07-09,8.39,8.43,8.335,8.4,8.1669,675771.0,0.0,1.0,SUL
2018-07-06,8.23,8.4,8.2,8.36,8.128,434359.0,0.0,1.0,SUL
2018-07-05,8.3,8.35,8.25,8.31,8.0794,461826.0,0.0,1.0,SUL
2018-07-04,8.27,8.39,8.23,8.25,8.0211,706473.0,0.0,1.0,SUL
2018-07-03,8.14,8.33,8.11,8.26,8.0308,580445.0,0.0,1.0,SUL
2018-07-02,8.2,8.24,8.11,8.14,7.9141,1046376.0,0.0,1.0,SUL
2018-06-29,8.23,8.27,8.02,8.1,7.8752,3650547.0,0.0,1.0,SUL
2018-06-28,8.29,8.33,8.17,8.22,7.9919,804744.0,0.0,1.0,SUL
2018-06-27,8.24,8.42,8.24,8.3,8.0697,969350.0,0.0,1.0,SUL
2018-06-26,8.33,8.45,8.24,8.33,8.0988,1022670.0,0.0,1.0,SUL
2018-06-25,8.44,8.52,8.345,8.37,8.1377,817502.0,0.0,1.0,SUL
2018-06-22,8.35,8.58,8.335,8.51,8.2738,1140904.0,0.0,1.0,SUL
2018-06-21,8.34,8.425,8.22,8.37,8.1377,1127137.0,0.0,1.0,SUL
2018-06-20,8.23,8.31,8.19,8.25,8.0211,1172864.0,0.0,1.0,SUL
2018-06-19,8.43,8.48,8.08,8.24,8.0113,1976527.0,0.0,1.0,SUL
2018-06-18,8.49,8.51,8.39,8.49,8.2544,1215678.0,0.0,1.0,SUL
2018-06-15,8.57,8.79,8.35,8.4,8.1669,1475802.0,0.0,1.0,SUL
2018-06-14,8.44,8.6,8.42,8.5,8.2641,1728163.0,0.0,1.0,SUL
2018-06-13,8.91,8.91,8.615,8.64,8.4002,976503.0,0.0,1.0,SUL
2018-06-12,8.8,9.01,8.77,8.92,8.6725,1076801.0,0.0,1.0,SUL
2018-06-08,8.74,8.87,8.65,8.78,8.5364,1118573.0,0.0,1.0,SUL
2018-06-07,8.46,8.71,8.43,8.65,8.41,1166419.0,0.0,1.0,SUL
2018-06-06,8.25,8.58,8.25,8.47,8.235,1292132.0,0.0,1.0,SUL
2018-06-05,8.41,8.55,8.18,8.25,8.0211,2873539.0,0.0,1.0,SUL
2018-06-04,8.54,8.605,8.42,8.47,8.235,546048.0,0.0,1.0,SUL
2018-06-01,8.5,8.62,8.48,8.54,8.303,1068997.0,0.0,1.0,SUL
2018-05-31,8.44,8.535,8.38,8.49,8.2544,1263763.0,0.0,1.0,SUL
2018-05-30,8.3,8.42,8.3,8.38,8.1475,1179804.0,0.0,1.0,SUL
2018-05-29,8.29,8.36,8.27,8.3,8.0697,678953.0,0.0,1.0,SUL
2018-05-28,8.32,8.39,8.28,8.3,8.0697,361706.0,0.0,1.0,SUL
2018-05-25,8.1,8.4,8.1,8.32,8.0891,681180.0,0.0,1.0,SUL
2018-05-24,8.31,8.365,8.15,8.18,7.953,596420.0,0.0,1.0,SUL
2018-05-23,8.26,8.38,8.23,8.35,8.1183,430104.0,0.0,1.0,SUL
2018-05-22,8.28,8.33,8.195,8.24,8.0113,735635.0,0.0,1.0,SUL
2018-05-21,8.37,8.44,8.3,8.33,8.0988,906525.0,0.0,1.0,SUL
2018-05-18,8.5,8.54,8.38,8.38,8.1475,611143.0,0.0,1.0,SUL
2018-05-17,8.28,8.61,8.22,8.52,8.2836,1302880.0,0.0,1.0,SUL
2018-05-16,8.0,8.3,8.0,8.29,8.06,636812.0,0.0,1.0,SUL
2018-05-15,8.17,8.19,7.97,7.99,7.7683,697734.0,0.0,1.0,SUL
2018-05-14,8.15,8.21,7.98,8.2,7.9725,900022.0,0.0,1.0,SUL
2018-05-11,7.91,8.16,7.84,7.91,7.6905,942788.0,0.0,1.0,SUL
2018-05-10,7.76,7.78,7.65,7.72,7.5058,494607.0,0.0,1.0,SUL
2018-05-09,7.65,7.825,7.51,7.75,7.5349,1418503.0,0.0,1.0,SUL
2018-05-08,7.66,7.72,7.6,7.63,7.4183,788171.0,0.0,1.0,SUL
2018-05-07,7.63,7.73,7.59,7.61,7.3988,738507.0,0.0,1.0,SUL
2018-05-04,7.7,7.84,7.54,7.56,7.3502,1444933.0,0.0,1.0,SUL
2018-05-03,7.5,7.71,7.37,7.57,7.3599,3924890.0,0.0,1.0,SUL
2018-05-02,7.09,7.09,6.825,6.97,6.7766,1925433.0,0.0,1.0,SUL
2018-05-01,7.24,7.29,7.13,7.15,6.9516,1137220.0,0.0,1.0,SUL
2018-04-30,7.21,7.34,7.19,7.21,7.0099,729890.0,0.0,1.0,SUL
2018-04-27,7.24,7.25,7.1,7.14,6.9419,428897.0,0.0,1.0,SUL
2018-04-26,7.18,7.24,7.155,7.19,6.9905,834799.0,0.0,1.0,SUL
2018-04-24,7.06,7.22,7.05,7.19,6.9905,391774.0,0.0,1.0,SUL
2018-04-23,7.08,7.09,7.01,7.01,6.8155,648007.0,0.0,1.0,SUL
2018-04-20,7.07,7.12,7.05,7.07,6.8738,343218.0,0.0,1.0,SUL
2018-04-19,7.16,7.17,7.04,7.07,6.8738,440161.0,0.0,1.0,SUL
2018-04-18,7.16,7.2,7.11,7.15,6.9516,859039.0,0.0,1.0,SUL
2018-04-17,7.17,7.23,7.15,7.15,6.9516,963292.0,0.0,1.0,SUL
2018-04-16,7.05,7.21,7.01,7.16,6.9613,720772.0,0.0,1.0,SUL
2018-04-13,6.91,7.105,6.85,7.05,6.8544,1321976.0,0.0,1.0,SUL
2018-04-12,6.85,6.98,6.81,6.93,6.7377,674728.0,0.0,1.0,SUL
2018-04-11,6.91,6.99,6.86,6.88,6.6891,978147.0,0.0,1.0,SUL
2018-04-10,6.94,6.97,6.87,6.9,6.7085,2529789.0,0.0,1.0,SUL
2018-04-09,6.83,6.97,6.82,6.94,6.7474,1071173.0,0.0,1.0,SUL
2018-04-06,6.69,6.86,6.63,6.84,6.6502,658925.0,0.0,1.0,SUL
2018-04-05,6.58,6.76,6.57,6.7,6.5141,1056818.0,0.0,1.0,SUL
2018-04-04,6.65,6.66,6.55,6.6,6.4169,1476194.0,0.0,1.0,SUL
2018-04-03,6.74,6.86,6.66,6.69,6.5044,758167.0,0.0,1.0,SUL
2018-03-28,6.6,6.875,6.6,6.8,6.6113,1245764.0,0.0,1.0,SUL
2018-03-27,6.68,6.75,6.64,6.66,6.4752,516296.0,0.0,1.0,SUL
2018-03-26,6.79,6.88,6.71,6.75,6.5627,596854.0,0.0,1.0,SUL
2018-03-25,6.68,6.8,6.65,6.77,6.5821,590021.0,0.0,1.0,SUL
2018-03-22,6.8,6.84,6.66,6.73,6.5432,713680.0,0.0,1.0,SUL
2018-03-21,6.93,6.94,6.78,6.89,6.6988,763392.0,0.0,1.0,SUL
2018-03-20,6.95,7.01,6.92,6.98,6.7863,817318.0,0.0,1.0,SUL
2018-03-19,6.97,7.075,6.94,6.99,6.796,523929.0,0.0,1.0,SUL
2018-03-18,7.03,7.04,6.85,6.96,6.7669,891461.0,0.0,1.0,SUL
2018-03-15,6.86,7.03,6.83,7.02,6.8252,1968744.0,0.0,1.0,SUL
2018-03-14,6.6,6.84,6.6,6.83,6.6405,1249393.0,0.0,1.0,SUL
2018-03-13,6.55,6.7,6.45,6.63,6.446,1402103.0,0.0,1.0,SUL
2018-03-12,6.56,6.57,6.42,6.55,6.3682,1353596.0,0.0,1.0,SUL
2018-03-11,6.85,6.86,6.55,6.56,6.378,981733.0,0.0,1.0,SUL
2018-03-08,6.83,6.87,6.77,6.79,6.6016,913669.0,0.0,1.0,SUL
2018-03-07,6.62,6.835,6.6,6.78,6.5919,834354.0,0.0,1.0,SUL
