date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,12.91,13.04,12.86,13.02,13.02,2947273.0,0.0,1.0,SUN
2018-12-12,12.85,13.1,12.82,13.01,13.01,3258299.0,0.0,1.0,SUN
2018-12-11,12.92,13.04,12.81,13.04,13.04,2985508.0,0.0,1.0,SUN
2018-12-10,12.98,12.98,12.83,12.87,12.87,3303007.0,0.0,1.0,SUN
2018-12-09,13.16,13.205,12.94,12.99,12.99,2884263.0,0.0,1.0,SUN
2018-12-06,13.65,13.68,13.29,13.31,13.31,2396504.0,0.0,1.0,SUN
2018-12-05,13.37,13.42,13.29,13.37,13.37,2161392.0,0.0,1.0,SUN
2018-12-04,13.37,13.38,13.17,13.38,13.38,2539443.0,0.0,1.0,SUN
2018-12-03,13.49,13.66,13.49,13.54,13.54,2282281.0,0.0,1.0,SUN
2018-12-02,13.5,13.56,13.4,13.55,13.55,1702731.0,0.0,1.0,SUN
2018-11-29,13.47,13.47,13.27,13.32,13.32,4821578.0,0.0,1.0,SUN
2018-11-28,13.62,13.72,13.44,13.55,13.55,2054496.0,0.0,1.0,SUN
2018-11-27,13.52,13.67,13.46,13.58,13.58,2985884.0,0.0,1.0,SUN
2018-11-26,13.42,13.53,13.32,13.53,13.53,2063131.0,0.0,1.0,SUN
2018-11-25,13.45,13.465,13.31,13.4,13.4,2922931.0,0.0,1.0,SUN
2018-11-22,13.37,13.55,13.31,13.49,13.49,1919920.0,0.0,1.0,SUN
2018-11-21,13.37,13.43,13.315,13.4,13.4,1709885.0,0.0,1.0,SUN
2018-11-20,13.12,13.33,13.105,13.33,13.33,2296377.0,0.0,1.0,SUN
2018-11-19,13.31,13.35,13.17,13.32,13.32,2442350.0,0.0,1.0,SUN
2018-11-18,13.46,13.47,13.31,13.42,13.42,1888264.0,0.0,1.0,SUN
2018-11-15,13.51,13.61,13.47,13.54,13.54,1219289.0,0.0,1.0,SUN
2018-11-14,13.55,13.6,13.43,13.56,13.56,2772570.0,0.0,1.0,SUN
2018-11-13,13.7,13.83,13.51,13.55,13.55,1799488.0,0.0,1.0,SUN
2018-11-12,13.79,13.87,13.675,13.72,13.72,3251327.0,0.0,1.0,SUN
2018-11-11,14.02,14.06,13.97,14.0,14.0,1202764.0,0.0,1.0,SUN
2018-11-08,13.9,14.14,13.9,14.08,14.08,1911448.0,0.0,1.0,SUN
2018-11-07,13.88,14.06,13.88,13.99,13.99,1944805.0,0.0,1.0,SUN
2018-11-06,13.94,14.03,13.785,13.83,13.83,2273201.0,0.0,1.0,SUN
2018-11-05,13.93,14.02,13.89,14.0,14.0,1086475.0,0.0,1.0,SUN
2018-11-04,13.77,14.06,13.75,13.96,13.96,2121393.0,0.0,1.0,SUN
2018-11-01,13.8,13.9,13.765,13.87,13.87,2169017.0,0.0,1.0,SUN
2018-10-31,14.0,14.15,13.96,14.03,14.03,2568552.0,0.0,1.0,SUN
2018-10-30,13.9,14.07,13.88,14.01,14.01,2778472.0,0.0,1.0,SUN
2018-10-29,13.79,14.0,13.76,13.99,13.99,2157498.0,0.0,1.0,SUN
2018-10-28,13.76,13.84,13.69,13.78,13.78,1453577.0,0.0,1.0,SUN
2018-10-25,13.63,13.69,13.515,13.65,13.65,2644645.0,0.0,1.0,SUN
2018-10-24,13.71,13.775,13.565,13.61,13.61,2941042.0,0.0,1.0,SUN
2018-10-23,13.93,13.99,13.86,13.88,13.88,1940994.0,0.0,1.0,SUN
2018-10-22,14.13,14.15,13.92,13.96,13.96,2156207.0,0.0,1.0,SUN
2018-10-21,14.03,14.18,13.98,14.11,14.11,1840358.0,0.0,1.0,SUN
2018-10-18,14.06,14.13,14.01,14.07,14.07,2050526.0,0.0,1.0,SUN
