date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,14.71,14.955,14.45,14.93,14.93,1042894.0,0.0,1.0,SVW
2018-12-12,14.06,15.0,14.06,14.71,14.71,723235.0,0.0,1.0,SVW
2018-12-11,14.02,14.24,13.72,14.03,14.03,1536014.0,0.0,1.0,SVW
2018-12-10,13.81,14.14,13.81,14.13,14.13,1205209.0,0.0,1.0,SVW
2018-12-09,14.38,14.38,13.85,13.96,13.96,1494711.0,0.0,1.0,SVW
2018-12-06,14.94,14.94,14.43,14.58,14.58,768522.0,0.0,1.0,SVW
2018-12-05,15.18,15.18,14.65,14.78,14.78,1163218.0,0.0,1.0,SVW
2018-12-04,15.85,15.85,15.025,15.26,15.26,1534712.0,0.0,1.0,SVW
2018-12-03,16.89,16.89,16.31,16.4,16.4,1311093.0,0.0,1.0,SVW
2018-12-02,16.31,16.8,16.31,16.79,16.79,2605372.0,0.0,1.0,SVW
2018-11-29,15.89,16.065,15.67,15.92,15.92,1380920.0,0.0,1.0,SVW
2018-11-28,15.49,16.07,15.47,15.87,15.87,968629.0,0.0,1.0,SVW
2018-11-27,15.41,15.555,15.15,15.34,15.34,1458033.0,0.0,1.0,SVW
2018-11-26,15.7,15.87,15.5,15.59,15.59,935667.0,0.0,1.0,SVW
2018-11-25,15.41,15.47,15.28,15.36,15.36,922779.0,0.0,1.0,SVW
2018-11-22,16.04,16.05,15.68,15.71,15.71,747247.0,0.0,1.0,SVW
2018-11-21,15.5,16.16,15.43,15.93,15.93,1041079.0,0.0,1.0,SVW
2018-11-20,16.0,16.0,15.45,15.5,15.5,1144032.0,0.0,1.0,SVW
2018-11-19,16.88,17.0,16.46,16.52,16.52,811920.0,0.0,1.0,SVW
2018-11-18,16.98,17.01,16.83,16.91,16.91,579173.0,0.0,1.0,SVW
2018-11-15,17.26,17.54,16.99,17.1,17.1,691910.0,0.0,1.0,SVW
2018-11-14,16.38,17.13,16.32,17.05,17.05,985094.0,0.0,1.0,SVW
2018-11-13,17.53,17.57,16.64,16.82,16.82,807090.0,0.0,1.0,SVW
2018-11-12,17.8,17.81,17.44,17.67,17.67,660399.0,0.0,1.0,SVW
2018-11-11,17.9,18.035,17.71,18.0,18.0,858041.0,0.0,1.0,SVW
2018-11-08,18.33,18.41,17.78,18.09,18.09,867223.0,0.0,1.0,SVW
