date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.005,1.035,0.995,1.025,1.025,3171552.0,0.0,1.0,SXL
2018-12-12,1.0,1.045,0.99,1.04,1.04,6891188.0,0.0,1.0,SXL
2018-12-11,1.0,1.01,0.995,1.01,1.01,2179749.0,0.0,1.0,SXL
2018-12-10,1.01,1.015,0.995,1.0,1.0,2343050.0,0.0,1.0,SXL
2018-12-09,1.02,1.03,0.99,1.01,1.01,3295110.0,0.0,1.0,SXL
2018-12-06,1.08,1.08,0.98,1.02,1.02,5914114.0,0.0,1.0,SXL
2018-12-05,1.05,1.08,1.05,1.065,1.065,1721983.0,0.0,1.0,SXL
2018-12-04,1.06,1.08,1.045,1.07,1.07,1786361.0,0.0,1.0,SXL
2018-12-03,1.06,1.075,1.05,1.07,1.07,1734862.0,0.0,1.0,SXL
2018-12-02,1.08,1.095,1.077,1.09,1.09,933362.0,0.0,1.0,SXL
2018-11-29,1.07,1.08,1.055,1.08,1.08,2952682.0,0.0,1.0,SXL
2018-11-28,1.06,1.09,1.055,1.07,1.07,6026285.0,0.0,1.0,SXL
2018-11-27,1.03,1.062,1.027,1.06,1.06,11820390.0,0.0,1.0,SXL
2018-11-26,1.04,1.07,1.02,1.02,1.02,2092805.0,0.0,1.0,SXL
2018-11-25,1.04,1.055,1.015,1.05,1.05,2653949.0,0.0,1.0,SXL
2018-11-22,1.04,1.05,1.03,1.05,1.05,1010984.0,0.0,1.0,SXL
2018-11-21,1.03,1.065,1.03,1.05,1.05,1735189.0,0.0,1.0,SXL
2018-11-20,1.035,1.065,1.03,1.055,1.055,1693802.0,0.0,1.0,SXL
2018-11-19,1.085,1.092,1.05,1.05,1.05,2119060.0,0.0,1.0,SXL
2018-11-18,1.1,1.122,1.087,1.09,1.09,3095133.0,0.0,1.0,SXL
2018-11-15,1.12,1.125,1.105,1.105,1.105,1437552.0,0.0,1.0,SXL
2018-11-14,1.12,1.14,1.11,1.13,1.13,1755635.0,0.0,1.0,SXL
2018-11-13,1.15,1.15,1.09,1.115,1.115,1797449.0,0.0,1.0,SXL
2018-11-12,1.145,1.165,1.115,1.115,1.115,1146655.0,0.0,1.0,SXL
2018-11-11,1.165,1.18,1.145,1.16,1.16,2354668.0,0.0,1.0,SXL
2018-11-08,1.15,1.17,1.147,1.16,1.16,1399617.0,0.0,1.0,SXL
2018-11-07,1.145,1.17,1.145,1.165,1.165,1289602.0,0.0,1.0,SXL
2018-11-06,1.13,1.15,1.127,1.145,1.145,1231700.0,0.0,1.0,SXL
2018-11-05,1.13,1.17,1.12,1.13,1.13,956373.0,0.0,1.0,SXL
2018-11-04,1.12,1.15,1.12,1.13,1.13,1950751.0,0.0,1.0,SXL
2018-11-01,1.12,1.2,1.12,1.13,1.13,1166523.0,0.0,1.0,SXL
2018-10-31,1.11,1.13,1.11,1.13,1.13,1382503.0,0.0,1.0,SXL
2018-10-30,1.115,1.155,1.115,1.14,1.14,1392887.0,0.0,1.0,SXL
2018-10-29,1.075,1.145,1.07,1.14,1.14,3543423.0,0.0,1.0,SXL
2018-10-28,1.125,1.145,1.117,1.125,1.125,2465536.0,0.0,1.0,SXL
2018-10-25,1.16,1.17,1.13,1.145,1.145,2340050.0,0.0,1.0,SXL
2018-10-24,1.18,1.19,1.14,1.14,1.14,1820705.0,0.0,1.0,SXL
2018-10-23,1.2,1.21,1.195,1.2,1.2,955143.0,0.0,1.0,SXL
2018-10-22,1.2,1.22,1.195,1.2,1.2,1966201.0,0.0,1.0,SXL
2018-10-21,1.195,1.225,1.195,1.205,1.205,1327445.0,0.0,1.0,SXL
2018-10-18,1.22,1.22,1.185,1.21,1.21,1200354.0,0.0,1.0,SXL
2018-10-17,1.19,1.225,1.165,1.22,1.22,2732308.0,0.0,1.0,SXL
2018-10-16,1.14,1.18,1.14,1.175,1.175,1167811.0,0.0,1.0,SXL
2018-10-15,1.165,1.177,1.155,1.165,1.165,974241.0,0.0,1.0,SXL
2018-10-14,1.14,1.17,1.14,1.165,1.165,1371629.0,0.0,1.0,SXL
2018-10-11,1.205,1.21,1.16,1.185,1.185,2009896.0,0.0,1.0,SXL
2018-10-10,1.25,1.28,1.21,1.22,1.22,1400909.0,0.0,1.0,SXL
2018-10-09,1.265,1.29,1.265,1.28,1.28,1235300.0,0.0,1.0,SXL
2018-10-08,1.28,1.2925,1.265,1.275,1.275,1608353.0,0.0,1.0,SXL
2018-10-07,1.305,1.305,1.295,1.3,1.3,1014068.0,0.0,1.0,SXL
2018-10-05,1.32,1.32,1.29,1.3,1.3,573610.0,0.0,1.0,SXL
2018-10-04,1.275,1.305,1.275,1.3,1.3,719766.0,0.0,1.0,SXL
2018-10-03,1.275,1.3175,1.275,1.3,1.3,742979.0,0.0,1.0,SXL
2018-10-02,1.275,1.3,1.275,1.29,1.29,845692.0,0.0,1.0,SXL
2018-10-01,1.27,1.3,1.27,1.3,1.3,572406.0,0.0,1.0,SXL
2018-09-28,1.31,1.31,1.29,1.29,1.29,1272265.0,0.0,1.0,SXL
2018-09-27,1.32,1.32,1.295,1.3,1.3,1350472.0,0.0,1.0,SXL
2018-09-26,1.295,1.305,1.292,1.3,1.3,1631624.0,0.0,1.0,SXL
2018-09-25,1.29,1.315,1.285,1.3,1.3,981161.0,0.0,1.0,SXL
2018-09-24,1.29,1.3,1.285,1.3,1.3,498699.0,0.0,1.0,SXL
2018-09-21,1.28,1.295,1.28,1.295,1.295,1921897.0,0.0,1.0,SXL
2018-09-20,1.275,1.3,1.272,1.285,1.285,1821924.0,0.0,1.0,SXL
2018-09-19,1.29,1.315,1.29,1.295,1.295,1603191.0,0.0,1.0,SXL
2018-09-18,1.315,1.325,1.3,1.3,1.3,801996.0,0.0,1.0,SXL
2018-09-17,1.325,1.33,1.315,1.32,1.32,1016921.0,0.0,1.0,SXL
2018-09-14,1.3,1.33,1.295,1.33,1.33,1730977.0,0.0,1.0,SXL
2018-09-13,1.26,1.33,1.26,1.32,1.32,960436.0,0.0,1.0,SXL
2018-09-12,1.295,1.325,1.29,1.325,1.325,1014926.0,0.0,1.0,SXL
2018-09-11,1.3,1.32,1.3,1.315,1.315,1411958.0,0.0,1.0,SXL
2018-09-10,1.305,1.33,1.3,1.3,1.3,1920670.0,0.0,1.0,SXL
2018-09-07,1.3,1.315,1.29,1.305,1.305,1240428.0,0.0,1.0,SXL
2018-09-06,1.36,1.37,1.335,1.355,1.315,2233774.0,0.0,1.0,SXL
2018-09-05,1.365,1.385,1.36,1.365,1.3247,1886221.0,0.0,1.0,SXL
2018-09-04,1.375,1.3925,1.37,1.37,1.3296,2052622.0,0.0,1.0,SXL
2018-09-03,1.39,1.3975,1.385,1.39,1.349,2381175.0,0.0,1.0,SXL
2018-08-31,1.39,1.395,1.38,1.38,1.3393,1541054.0,0.0,1.0,SXL
2018-08-30,1.425,1.425,1.385,1.395,1.3538,2269882.0,0.0,1.0,SXL
2018-08-29,1.4,1.405,1.38,1.395,1.3538,2046747.0,0.0,1.0,SXL
2018-08-28,1.385,1.42,1.375,1.395,1.3538,2725906.0,0.0,1.0,SXL
2018-08-27,1.4,1.41,1.34,1.365,1.3247,3186333.0,0.0,1.0,SXL
2018-08-24,1.3,1.37,1.3,1.36,1.3199,4937092.0,0.0,1.0,SXL
2018-08-23,1.33,1.36,1.31,1.33,1.2907,6441662.0,0.0,1.0,SXL
2018-08-22,1.3,1.305,1.29,1.295,1.2568,1036962.0,0.0,1.0,SXL
2018-08-21,1.3,1.305,1.292,1.295,1.2568,855727.0,0.0,1.0,SXL
2018-08-20,1.3,1.305,1.295,1.3,1.2616,1558271.0,0.0,1.0,SXL
2018-08-17,1.285,1.305,1.285,1.295,1.2568,1111377.0,0.0,1.0,SXL
2018-08-16,1.3,1.305,1.285,1.295,1.2568,833549.0,0.0,1.0,SXL
2018-08-15,1.3,1.315,1.285,1.3,1.2616,1093026.0,0.0,1.0,SXL
2018-08-14,1.3,1.3,1.285,1.29,1.2519,1009993.0,0.0,1.0,SXL
2018-08-13,1.285,1.2975,1.275,1.295,1.2568,492651.0,0.0,1.0,SXL
2018-08-10,1.3,1.3,1.285,1.285,1.2471,385338.0,0.0,1.0,SXL
2018-08-09,1.27,1.3025,1.27,1.295,1.2568,908532.0,0.0,1.0,SXL
2018-08-08,1.28,1.29,1.26,1.27,1.2325,1063965.0,0.0,1.0,SXL
2018-08-07,1.29,1.3,1.287,1.3,1.2616,1064323.0,0.0,1.0,SXL
2018-08-06,1.31,1.31,1.285,1.3,1.2616,648352.0,0.0,1.0,SXL
2018-08-03,1.305,1.325,1.295,1.3,1.2616,1404902.0,0.0,1.0,SXL
2018-08-02,1.3,1.3,1.26,1.285,1.2471,995357.0,0.0,1.0,SXL
2018-08-01,1.265,1.295,1.265,1.285,1.2471,847040.0,0.0,1.0,SXL
2018-07-31,1.275,1.275,1.25,1.26,1.2228,2122655.0,0.0,1.0,SXL
2018-07-30,1.25,1.26,1.23,1.255,1.218,599172.0,0.0,1.0,SXL
2018-07-27,1.28,1.295,1.25,1.26,1.2228,956147.0,0.0,1.0,SXL
2018-07-26,1.25,1.26,1.24,1.255,1.218,1318081.0,0.0,1.0,SXL
2018-07-25,1.23,1.25,1.225,1.25,1.2131,1302944.0,0.0,1.0,SXL
