date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.9,1.965,1.9,1.94,1.94,3112464.0,0.0,1.0,VEA
2018-12-12,1.93,1.935,1.895,1.925,1.925,3175739.0,0.0,1.0,VEA
2018-12-11,1.89,1.935,1.885,1.92,1.92,2518615.0,0.0,1.0,VEA
2018-12-10,1.9,1.92,1.88,1.9,1.9,2357566.0,0.0,1.0,VEA
2018-12-09,1.94,1.94,1.89,1.9,1.9,2826816.0,0.0,1.0,VEA
2018-12-06,1.985,2.0,1.965,1.99,1.99,2452167.0,0.0,1.0,VEA
2018-12-05,1.975,2.002,1.97,2.0,2.0,3121520.0,0.0,1.0,VEA
2018-12-04,1.94,2.0,1.94,1.99,1.99,3389095.0,0.0,1.0,VEA
2018-12-03,1.985,2.0,1.962,1.985,1.985,2782133.0,0.0,1.0,VEA
2018-12-02,1.99,2.002,1.952,2.0,2.0,2261326.0,0.0,1.0,VEA
2018-11-29,1.985,2.0,1.935,1.975,1.975,31287619.0,0.0,1.0,VEA
2018-11-28,1.91,1.97,1.91,1.95,1.95,4035759.0,0.0,1.0,VEA
2018-11-27,1.985,1.99,1.925,1.925,1.925,4316177.0,0.0,1.0,VEA
2018-11-26,2.0,2.04,1.91,1.945,1.945,5769068.0,0.0,1.0,VEA
2018-11-25,1.865,1.995,1.85,1.985,1.985,5787147.0,0.0,1.0,VEA
2018-11-22,1.845,1.905,1.815,1.895,1.895,3552272.0,0.0,1.0,VEA
2018-11-21,1.81,1.85,1.78,1.845,1.845,6406971.0,0.0,1.0,VEA
2018-11-20,1.805,1.867,1.795,1.83,1.83,4045830.0,0.0,1.0,VEA
2018-11-19,1.76,1.84,1.73,1.83,1.83,9175114.0,0.0,1.0,VEA
2018-11-18,1.745,1.87,1.66,1.8,1.8,14379255.0,0.0,1.0,VEA
2018-11-15,2.06,2.1,2.05,2.05,2.05,2240571.0,0.0,1.0,VEA
2018-11-14,2.12,2.12,2.06,2.09,2.09,4219767.0,0.0,1.0,VEA
2018-11-13,2.1,2.17,2.05,2.1,2.1,5696354.0,0.0,1.0,VEA
2018-11-12,2.12,2.18,2.11,2.12,2.12,2111539.0,0.0,1.0,VEA
2018-11-11,2.07,2.16,2.07,2.14,2.14,1848071.0,0.0,1.0,VEA
2018-11-08,2.06,2.14,2.06,2.13,2.13,2628752.0,0.0,1.0,VEA
2018-11-07,2.1,2.1,2.05,2.07,2.07,1887629.0,0.0,1.0,VEA
2018-11-06,2.09,2.1,2.04,2.07,2.07,2251272.0,0.0,1.0,VEA
2018-11-05,2.06,2.09,2.05,2.09,2.09,968424.0,0.0,1.0,VEA
2018-11-04,2.04,2.1,2.025,2.06,2.06,1861472.0,0.0,1.0,VEA
