date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.53,2.56,2.485,2.53,2.53,96340.0,0.0,1.0,VRL
2018-12-12,2.55,2.55,2.42,2.48,2.48,119488.0,0.0,1.0,VRL
2018-12-11,2.44,2.51,2.44,2.5,2.5,48968.0,0.0,1.0,VRL
2018-12-10,2.48,2.55,2.38,2.5,2.5,559237.0,0.0,1.0,VRL
2018-12-09,2.5,2.51,2.4,2.49,2.49,113210.0,0.0,1.0,VRL
2018-12-06,2.53,2.57,2.43,2.5,2.5,79810.0,0.0,1.0,VRL
2018-12-05,2.49,2.59,2.41,2.53,2.53,69107.0,0.0,1.0,VRL
2018-12-04,2.5,2.53,2.43,2.5,2.5,134481.0,0.0,1.0,VRL
2018-12-03,2.59,2.59,2.44,2.5,2.5,244196.0,0.0,1.0,VRL
2018-12-02,2.47,2.565,2.47,2.51,2.51,151673.0,0.0,1.0,VRL
2018-11-29,2.47,2.47,2.39,2.45,2.45,136157.0,0.0,1.0,VRL
2018-11-28,2.46,2.46,2.37,2.45,2.45,75512.0,0.0,1.0,VRL
2018-11-27,2.49,2.5,2.385,2.43,2.43,110911.0,0.0,1.0,VRL
2018-11-26,2.43,2.5,2.37,2.5,2.5,170918.0,0.0,1.0,VRL
2018-11-25,2.43,2.43,2.39,2.43,2.43,1004763.0,0.0,1.0,VRL
2018-11-22,2.31,2.42,2.31,2.42,2.42,134017.0,0.0,1.0,VRL
2018-11-21,2.31,2.36,2.31,2.35,2.35,66719.0,0.0,1.0,VRL
2018-11-20,2.35,2.36,2.3,2.33,2.33,154795.0,0.0,1.0,VRL
2018-11-19,2.31,2.35,2.3,2.33,2.33,479949.0,0.0,1.0,VRL
2018-11-18,2.38,2.38,2.33,2.33,2.33,122230.0,0.0,1.0,VRL
2018-11-15,2.37,2.4,2.33,2.34,2.34,737318.0,0.0,1.0,VRL
2018-11-14,2.38,2.38,2.3,2.31,2.31,30828.0,0.0,1.0,VRL
2018-11-13,2.3,2.37,2.3,2.35,2.35,53591.0,0.0,1.0,VRL
2018-11-12,2.37,2.37,2.33,2.35,2.35,59510.0,0.0,1.0,VRL
2018-11-11,2.3,2.36,2.26,2.36,2.36,117300.0,0.0,1.0,VRL
2018-11-08,2.24,2.37,2.24,2.33,2.33,81357.0,0.0,1.0,VRL
2018-11-07,2.26,2.33,2.23,2.33,2.33,77246.0,0.0,1.0,VRL
