date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.21,2.23,2.21,2.21,2.21,694998.0,0.0,1.0,VVR
2018-12-12,2.22,2.235,2.21,2.22,2.22,2225168.0,0.0,1.0,VVR
2018-12-11,2.25,2.25,2.22,2.24,2.24,2252500.0,0.0,1.0,VVR
2018-12-10,2.22,2.26,2.22,2.24,2.24,1953927.0,0.0,1.0,VVR
2018-12-09,2.2,2.25,2.2,2.23,2.23,1715025.0,0.0,1.0,VVR
2018-12-06,2.16,2.23,2.16,2.21,2.21,1490674.0,0.0,1.0,VVR
2018-12-05,2.1,2.18,2.09,2.17,2.17,1659524.0,0.0,1.0,VVR
2018-12-04,2.1,2.135,2.09,2.11,2.11,4494780.0,0.0,1.0,VVR
2018-12-03,2.12,2.13,2.1,2.1,2.1,939866.0,0.0,1.0,VVR
2018-12-02,2.09,2.11,2.08,2.11,2.11,1247823.0,0.0,1.0,VVR
2018-11-29,2.15,2.16,2.07,2.07,2.07,4764139.0,0.0,1.0,VVR
2018-11-28,2.14,2.16,2.14,2.15,2.15,794433.0,0.0,1.0,VVR
2018-11-27,2.16,2.16,2.15,2.16,2.16,780823.0,0.0,1.0,VVR
2018-11-26,2.16,2.16,2.15,2.15,2.15,2495839.0,0.0,1.0,VVR
2018-11-25,2.16,2.16,2.15,2.15,2.15,1372266.0,0.0,1.0,VVR
2018-11-22,2.16,2.18,2.14,2.17,2.17,938588.0,0.0,1.0,VVR
2018-11-21,2.14,2.17,2.14,2.15,2.15,1223776.0,0.0,1.0,VVR
2018-11-20,2.15,2.165,2.14,2.16,2.16,10852000.0,0.0,1.0,VVR
2018-11-19,2.16,2.17,2.14,2.15,2.15,2795977.0,0.0,1.0,VVR
2018-11-18,2.17,2.17,2.15,2.16,2.16,1625970.0,0.0,1.0,VVR
2018-11-15,2.2,2.21,2.17,2.17,2.17,834240.0,0.0,1.0,VVR
2018-11-14,2.17,2.21,2.17,2.2,2.2,886266.0,0.0,1.0,VVR
2018-11-13,2.22,2.24,2.18,2.18,2.18,1587817.0,0.0,1.0,VVR
2018-11-12,2.22,2.23,2.2,2.2,2.2,954979.0,0.0,1.0,VVR
2018-11-11,2.22,2.24,2.21,2.22,2.22,1307133.0,0.0,1.0,VVR
2018-11-08,2.21,2.22,2.19,2.22,2.22,1034528.0,0.0,1.0,VVR
2018-11-07,2.19,2.215,2.185,2.2,2.2,1153154.0,0.0,1.0,VVR
2018-11-06,2.16,2.21,2.16,2.2,2.2,1394631.0,0.0,1.0,VVR
2018-11-05,2.13,2.15,2.13,2.15,2.15,737837.0,0.0,1.0,VVR
