date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,1.65,1.65,1.59,1.61,1.61,34990.0,0.0,1.0,WBA
2018-12-12,1.66,1.68,1.6,1.63,1.63,51721.0,0.0,1.0,WBA
2018-12-11,1.6,1.65,1.6,1.6,1.6,31272.0,0.0,1.0,WBA
2018-12-10,1.62,1.625,1.59,1.59,1.59,79722.0,0.0,1.0,WBA
2018-12-09,1.725,1.75,1.6,1.645,1.645,90076.0,0.0,1.0,WBA
2018-12-06,1.64,1.74,1.615,1.74,1.74,217209.0,0.0,1.0,WBA
2018-12-05,1.68,1.68,1.64,1.64,1.64,92009.0,0.0,1.0,WBA
2018-12-04,1.73,1.74,1.69,1.73,1.7,104290.0,0.0,1.0,WBA
2018-12-03,1.735,1.74,1.71,1.71,1.6803,15489.0,0.0,1.0,WBA
2018-12-02,1.685,1.72,1.68,1.7,1.6705,18234.0,0.0,1.0,WBA
2018-11-29,1.75,1.75,1.7,1.735,1.7049,109753.0,0.0,1.0,WBA
2018-11-28,1.7,1.75,1.7,1.75,1.7197,203748.0,0.0,1.0,WBA
2018-11-27,1.695,1.735,1.695,1.735,1.7049,46863.0,0.0,1.0,WBA
2018-11-26,1.73,1.745,1.68,1.7,1.6705,108022.0,0.0,1.0,WBA
2018-11-25,1.72,1.74,1.675,1.74,1.7098,75861.0,0.0,1.0,WBA
2018-11-22,1.66,1.72,1.65,1.72,1.6902,176356.0,0.0,1.0,WBA
2018-11-21,1.65,1.685,1.65,1.65,1.6214,6482.0,0.0,1.0,WBA
2018-11-20,1.695,1.715,1.675,1.7,1.6705,73466.0,0.0,1.0,WBA
2018-11-19,1.68,1.705,1.68,1.7,1.6705,23235.0,0.0,1.0,WBA
2018-11-18,1.67,1.745,1.67,1.7,1.6705,111870.0,0.0,1.0,WBA
2018-11-15,1.65,1.68,1.645,1.65,1.6214,6391.0,0.0,1.0,WBA
2018-11-14,1.625,1.65,1.625,1.63,1.6017,13215.0,0.0,1.0,WBA
2018-11-13,1.7,1.7,1.62,1.625,1.5968,95212.0,0.0,1.0,WBA
