date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,2.96,3.04,2.96,3.01,3.01,587326.0,0.0,1.0,WGN
2018-12-12,2.99,3.05,2.93,2.99,2.99,118805.0,0.0,1.0,WGN
2018-12-11,2.91,3.05,2.82,2.98,2.98,188285.0,0.0,1.0,WGN
2018-12-10,2.98,3.06,2.91,2.92,2.92,108351.0,0.0,1.0,WGN
2018-12-09,3.14,3.14,2.94,2.95,2.95,237538.0,0.0,1.0,WGN
2018-12-06,3.18,3.2,3.06,3.11,3.11,177954.0,0.0,1.0,WGN
2018-12-05,3.2,3.27,3.16,3.18,3.18,105508.0,0.0,1.0,WGN
2018-12-04,3.23,3.23,3.11,3.15,3.15,89009.0,0.0,1.0,WGN
2018-12-03,3.2,3.335,3.17,3.22,3.22,1685006.0,0.0,1.0,WGN
2018-12-02,3.2,3.32,3.14,3.16,3.16,153034.0,0.0,1.0,WGN
2018-11-29,3.29,3.43,3.13,3.13,3.13,1593145.0,0.0,1.0,WGN
2018-11-28,3.16,3.25,3.1,3.25,3.25,1631496.0,0.0,1.0,WGN
2018-11-27,3.09,3.17,2.95,3.15,3.15,2218736.0,0.0,1.0,WGN
2018-11-26,3.1,3.27,3.04,3.09,3.09,241150.0,0.0,1.0,WGN
2018-11-25,3.18,3.18,3.1,3.1,3.1,286195.0,0.0,1.0,WGN
2018-11-22,3.24,3.245,3.13,3.18,3.18,234061.0,0.0,1.0,WGN
2018-11-21,3.28,3.29,3.25,3.26,3.26,252397.0,0.0,1.0,WGN
2018-11-20,3.4,3.4,3.26,3.29,3.29,550122.0,0.0,1.0,WGN
2018-11-19,3.38,3.45,3.37,3.4,3.4,139144.0,0.0,1.0,WGN
2018-11-18,3.42,3.43,3.38,3.38,3.38,129080.0,0.0,1.0,WGN
2018-11-15,3.48,3.52,3.42,3.44,3.44,116090.0,0.0,1.0,WGN
2018-11-14,3.58,3.6,3.47,3.48,3.48,237483.0,0.0,1.0,WGN
2018-11-13,3.57,3.7,3.53,3.61,3.61,223024.0,0.0,1.0,WGN
2018-11-12,3.59,3.65,3.52,3.62,3.62,272658.0,0.0,1.0,WGN
2018-11-11,3.52,3.65,3.52,3.59,3.59,274509.0,0.0,1.0,WGN
2018-11-08,3.43,3.55,3.43,3.52,3.52,277518.0,0.0,1.0,WGN
2018-11-07,3.44,3.51,3.43,3.46,3.46,246111.0,0.0,1.0,WGN
2018-11-06,3.41,3.455,3.36,3.4,3.4,298237.0,0.0,1.0,WGN
2018-11-05,3.45,3.45,3.29,3.38,3.38,277885.0,0.0,1.0,WGN
2018-11-04,3.49,3.5,3.3,3.38,3.38,455446.0,0.0,1.0,WGN
2018-11-01,3.76,3.77,3.41,3.49,3.49,620603.0,0.0,1.0,WGN
2018-10-31,4.3,4.3,3.51,3.78,3.78,1350414.0,0.0,1.0,WGN
2018-10-30,4.27,4.36,4.23,4.23,4.23,977348.0,0.0,1.0,WGN
2018-10-29,4.39,4.39,4.27,4.27,4.27,142042.0,0.0,1.0,WGN
2018-10-28,4.35,4.43,4.34,4.41,4.41,136413.0,0.0,1.0,WGN
2018-10-25,4.33,4.57,4.33,4.36,4.36,135361.0,0.0,1.0,WGN
2018-10-24,4.26,4.4,4.22,4.29,4.29,129126.0,0.0,1.0,WGN
2018-10-23,4.37,4.38,4.27,4.27,4.27,460201.0,0.0,1.0,WGN
2018-10-22,4.4,4.4,4.35,4.37,4.37,219891.0,0.0,1.0,WGN
2018-10-21,4.42,4.43,4.35,4.36,4.36,67494.0,0.0,1.0,WGN
2018-10-18,4.4,4.5,4.4,4.45,4.45,61265.0,0.0,1.0,WGN
2018-10-17,4.49,4.49,4.39,4.44,4.44,118529.0,0.0,1.0,WGN
2018-10-16,4.5,4.5,4.4,4.44,4.44,133580.0,0.0,1.0,WGN
2018-10-15,4.46,4.5,4.4,4.44,4.44,160236.0,0.0,1.0,WGN
2018-10-14,4.51,4.61,4.42,4.45,4.45,104774.0,0.0,1.0,WGN
2018-10-11,4.56,4.61,4.48,4.57,4.57,100173.0,0.0,1.0,WGN
2018-10-10,4.73,4.73,4.56,4.6,4.6,362281.0,0.0,1.0,WGN
2018-10-09,4.74,4.89,4.74,4.82,4.82,191881.0,0.0,1.0,WGN
2018-10-08,4.68,4.89,4.68,4.74,4.74,246717.0,0.0,1.0,WGN
2018-10-07,4.56,4.7,4.5,4.68,4.68,89053.0,0.0,1.0,WGN
2018-10-05,4.56,4.715,4.52,4.57,4.57,121950.0,0.0,1.0,WGN
2018-10-04,4.5,4.59,4.4,4.55,4.55,103828.0,0.0,1.0,WGN
2018-10-03,4.46,4.5,4.42,4.43,4.43,139358.0,0.0,1.0,WGN
