date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,4.63,4.73,4.58,4.64,4.64,6797132.0,0.0,1.0,WHC
2018-12-12,4.47,4.64,4.47,4.63,4.63,8137331.0,0.0,1.0,WHC
2018-12-11,4.39,4.515,4.33,4.45,4.45,5140252.0,0.0,1.0,WHC
2018-12-10,4.22,4.38,4.21,4.36,4.36,5178367.0,0.0,1.0,WHC
2018-12-09,4.29,4.295,4.18,4.21,4.21,3410620.0,0.0,1.0,WHC
2018-12-06,4.32,4.42,4.315,4.34,4.34,3862257.0,0.0,1.0,WHC
2018-12-05,4.28,4.38,4.24,4.36,4.36,4582814.0,0.0,1.0,WHC
2018-12-04,4.26,4.38,4.23,4.35,4.35,3002500.0,0.0,1.0,WHC
2018-12-03,4.4,4.46,4.32,4.4,4.4,5199846.0,0.0,1.0,WHC
2018-12-02,4.32,4.48,4.295,4.45,4.45,5568606.0,0.0,1.0,WHC
2018-11-29,4.34,4.34,4.24,4.26,4.26,5614618.0,0.0,1.0,WHC
2018-11-28,4.3,4.525,4.3,4.36,4.36,8905269.0,0.0,1.0,WHC
2018-11-27,4.22,4.24,4.14,4.19,4.19,6988683.0,0.0,1.0,WHC
2018-11-26,4.1,4.225,4.04,4.17,4.17,6709969.0,0.0,1.0,WHC
2018-11-25,4.2,4.21,4.09,4.12,4.12,5753481.0,0.0,1.0,WHC
2018-11-22,4.4,4.41,4.275,4.33,4.33,1871295.0,0.0,1.0,WHC
2018-11-21,4.3,4.405,4.28,4.38,4.38,6035328.0,0.0,1.0,WHC
2018-11-20,4.35,4.35,4.155,4.33,4.33,10093795.0,0.0,1.0,WHC
2018-11-19,4.43,4.53,4.425,4.44,4.44,6114672.0,0.0,1.0,WHC
2018-11-18,4.43,4.45,4.36,4.41,4.41,9903024.0,0.0,1.0,WHC
2018-11-15,4.6,4.63,4.53,4.56,4.56,10029673.0,0.0,1.0,WHC
2018-11-14,4.67,4.74,4.63,4.65,4.65,7083353.0,0.0,1.0,WHC
2018-11-13,4.83,4.87,4.66,4.71,4.71,4914947.0,0.0,1.0,WHC
2018-11-12,4.92,4.94,4.83,4.86,4.86,4837870.0,0.0,1.0,WHC
2018-11-11,4.88,5.07,4.88,5.02,5.02,7270804.0,0.0,1.0,WHC
2018-11-08,5.03,5.05,4.89,4.93,4.93,3277294.0,0.0,1.0,WHC
2018-11-07,4.97,4.99,4.95,4.96,4.96,3371824.0,0.0,1.0,WHC
2018-11-06,4.95,4.975,4.86,4.92,4.92,4217946.0,0.0,1.0,WHC
2018-11-05,4.9,5.02,4.84,4.99,4.99,4099668.0,0.0,1.0,WHC
2018-11-04,4.8,4.89,4.78,4.86,4.86,5005327.0,0.0,1.0,WHC
2018-11-01,4.79,4.88,4.77,4.86,4.86,5057639.0,0.0,1.0,WHC
2018-10-31,5.0,5.01,4.855,4.88,4.88,3843245.0,0.0,1.0,WHC
2018-10-30,4.85,4.925,4.8,4.85,4.85,4124130.0,0.0,1.0,WHC
2018-10-29,4.8,4.91,4.77,4.87,4.87,4209510.0,0.0,1.0,WHC
2018-10-28,4.88,4.98,4.84,4.85,4.85,5094625.0,0.0,1.0,WHC
2018-10-25,5.0,5.07,4.74,4.81,4.81,9625471.0,0.0,1.0,WHC
2018-10-24,5.12,5.125,4.84,4.86,4.86,13236264.0,0.0,1.0,WHC
