date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,12.76,12.92,12.25,12.38,12.38,4467100.0,0.0,1.0,WOR
2018-12-12,12.5,12.74,12.22,12.57,12.57,3608408.0,0.0,1.0,WOR
2018-12-11,12.48,12.65,12.41,12.5,12.5,2339792.0,0.0,1.0,WOR
2018-12-10,12.39,12.52,12.15,12.43,12.43,6432281.0,0.0,1.0,WOR
2018-12-09,12.78,12.78,12.21,12.39,12.39,2907183.0,0.0,1.0,WOR
2018-12-06,13.5,13.51,12.84,13.0,13.0,3078147.0,0.0,1.0,WOR
2018-12-05,13.61,13.62,13.23,13.36,13.36,1841124.0,0.0,1.0,WOR
2018-12-04,13.7,13.78,13.415,13.5,13.5,2965891.0,0.0,1.0,WOR
2018-12-03,14.2,14.2,13.71,13.85,13.85,3367385.0,0.0,1.0,WOR
2018-12-02,13.6,14.01,13.45,14.01,14.01,4009400.0,0.0,1.0,WOR
2018-11-29,13.33,13.63,13.11,13.2,13.2,32519412.0,0.0,1.0,WOR
2018-11-28,13.08,13.23,12.94,13.19,13.19,3623408.0,0.0,1.0,WOR
2018-11-27,13.02,13.22,12.87,13.03,13.03,3389069.0,0.0,1.0,WOR
2018-11-26,13.04,13.26,12.88,13.11,13.11,5765391.0,0.0,1.0,WOR
2018-11-25,13.03,13.2,12.815,12.88,12.88,3276131.0,0.0,1.0,WOR
2018-11-22,13.3,13.57,13.05,13.33,13.33,3031485.0,0.0,1.0,WOR
2018-11-21,13.47,13.67,13.22,13.38,13.38,4267722.0,0.0,1.0,WOR
2018-11-20,13.9,13.93,13.345,13.44,13.44,6446618.0,0.0,1.0,WOR
2018-11-19,15.02,15.03,14.41,14.47,14.47,2935688.0,0.0,1.0,WOR
2018-11-18,15.0,15.24,14.75,15.01,15.01,2544826.0,0.0,1.0,WOR
2018-11-15,14.75,15.04,14.52,14.92,14.92,2575952.0,0.0,1.0,WOR
2018-11-14,14.28,14.82,14.23,14.79,14.79,3985452.0,0.0,1.0,WOR
2018-11-13,14.21,14.5,13.82,14.18,14.18,6627202.0,0.0,1.0,WOR
2018-11-12,14.94,15.205,14.74,14.96,14.96,3656620.0,0.0,1.0,WOR
2018-11-11,15.05,15.34,14.85,15.21,15.21,3649663.0,0.0,1.0,WOR
2018-11-08,15.29,15.48,14.835,15.22,15.22,2910458.0,0.0,1.0,WOR
2018-11-07,15.57,15.57,14.93,15.18,15.18,4137058.0,0.0,1.0,WOR
2018-11-06,14.12,15.85,13.87,15.54,15.54,9009808.0,0.0,1.0,WOR
2018-11-05,14.34,14.35,13.83,14.07,14.07,2127743.0,0.0,1.0,WOR
2018-11-04,14.05,14.53,13.91,14.04,14.04,3697815.0,0.0,1.0,WOR
2018-11-01,14.19,14.4,14.05,14.22,14.22,3688328.0,0.0,1.0,WOR
2018-10-31,14.5,14.8,14.22,14.29,14.29,2719300.0,0.0,1.0,WOR
2018-10-30,14.75,14.92,14.16,14.59,14.59,5741312.0,0.0,1.0,WOR
2018-10-29,13.95,14.78,13.69,14.53,14.53,5589207.0,0.0,1.0,WOR
2018-10-28,14.24,14.49,13.9,14.11,14.11,3209633.0,0.0,1.0,WOR
2018-10-25,14.9,15.07,13.88,14.24,14.24,5332625.0,0.0,1.0,WOR
2018-10-24,15.5,15.5,14.63,14.66,14.66,8925149.0,0.0,1.0,WOR
2018-10-23,15.88,16.06,15.66,15.81,15.81,13376429.0,0.0,1.0,WOR
2018-10-22,16.9169,16.9169,16.9169,16.9169,16.9169,0.0,0.0,1.0,WOR
2018-10-21,17.1635,17.1872,16.8316,16.9169,16.9169,703009.0,0.0,1.0,WOR
2018-10-18,17.1635,17.1872,16.8316,16.9169,16.9169,703009.0,0.0,1.0,WOR
2018-10-17,17.4669,17.4669,17.173,17.448,17.448,562261.0,0.0,1.0,WOR
2018-10-16,17.3057,17.5428,17.2346,17.4859,17.4859,769294.0,0.0,1.0,WOR
2018-10-15,17.3057,17.3626,16.9643,17.0402,17.0402,778451.0,0.0,1.0,WOR
2018-10-14,17.2868,17.4005,16.9454,17.3247,17.3247,581467.0,0.0,1.0,WOR
2018-10-11,17.1635,17.7704,17.0876,17.6471,17.6471,932646.0,0.0,1.0,WOR
2018-10-10,18.3014,18.3014,17.8747,17.8747,17.8747,750304.0,0.0,1.0,WOR
2018-10-09,18.6807,19.0505,18.6238,18.8514,18.8514,618784.0,0.0,1.0,WOR
2018-10-08,18.9083,19.0221,18.6996,18.8229,18.8229,565716.0,0.0,1.0,WOR
2018-10-07,19.1928,19.3065,18.8514,19.1548,19.1548,482547.0,0.0,1.0,WOR
2018-10-05,19.2307,19.5436,19.0695,19.354,19.354,457174.0,0.0,1.0,WOR
2018-10-04,19.1643,19.7332,19.1548,19.3255,19.3255,611210.0,0.0,1.0,WOR
2018-10-03,18.9652,19.4488,18.9652,19.1643,19.1643,630934.0,0.0,1.0,WOR
2018-10-02,19.2781,19.4962,18.8703,18.9652,18.9652,999763.0,0.0,1.0,WOR
2018-10-01,19.079,19.3255,19.079,19.2402,19.2402,262411.0,0.0,1.0,WOR
2018-09-28,19.5341,19.6953,19.2686,19.3729,19.3729,892627.0,0.0,1.0,WOR
2018-09-27,19.2022,19.4583,18.9936,19.3729,19.3729,2300227.0,0.0,1.0,WOR
2018-09-26,18.8609,19.335,18.7376,19.2212,19.2212,530896.0,0.0,1.0,WOR
2018-09-25,18.5005,18.8988,18.5005,18.8703,18.8703,906248.0,0.0,1.0,WOR
2018-09-24,18.6048,18.7755,18.51,18.5764,18.5764,882507.0,0.0,1.0,WOR
2018-09-21,18.8229,18.8893,18.6238,18.6333,18.6333,1984473.0,0.0,1.0,WOR
2018-09-20,18.9462,19.1643,18.8703,19.0031,19.0031,937891.0,0.0,1.0,WOR
2018-09-19,19.0979,19.1596,18.9272,19.0979,19.0979,814346.0,0.0,1.0,WOR
