date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2018-12-13,28.37,28.56,28.15,28.31,28.31,4041648.0,0.0,1.0,WOW
2018-12-12,28.29,28.67,28.21,28.49,28.49,2263465.0,0.0,1.0,WOW
2018-12-11,28.52,28.56,28.28,28.47,28.47,3550821.0,0.0,1.0,WOW
2018-12-10,28.74,28.81,27.98,28.4,28.4,4513786.0,0.0,1.0,WOW
2018-12-09,29.01,29.17,28.62,28.74,28.74,2569498.0,0.0,1.0,WOW
2018-12-06,29.01,29.57,28.9,29.23,29.23,2571573.0,0.0,1.0,WOW
2018-12-05,28.91,29.14,28.84,29.02,29.02,2176681.0,0.0,1.0,WOW
2018-12-04,28.67,29.1,28.62,28.97,28.97,2780203.0,0.0,1.0,WOW
2018-12-03,29.17,29.23,28.78,28.92,28.92,2461623.0,0.0,1.0,WOW
2018-12-02,29.16,29.32,28.89,29.15,29.15,3025148.0,0.0,1.0,WOW
2018-11-29,29.68,29.71,28.92,28.92,28.92,9929962.0,0.0,1.0,WOW
2018-11-28,29.83,29.93,29.6,29.83,29.83,3439723.0,0.0,1.0,WOW
2018-11-27,29.76,29.83,29.375,29.79,29.79,2286464.0,0.0,1.0,WOW
2018-11-26,29.2,29.645,29.12,29.6,29.6,2638704.0,0.0,1.0,WOW
2018-11-25,29.27,29.53,29.12,29.25,29.25,3261005.0,0.0,1.0,WOW
2018-11-22,29.1,29.47,28.89,29.24,29.24,2111812.0,0.0,1.0,WOW
2018-11-21,28.92,29.04,28.55,28.91,28.91,2164867.0,0.0,1.0,WOW
2018-11-20,28.35,29.02,28.28,28.87,28.87,4215351.0,0.0,1.0,WOW
2018-11-19,28.5,28.59,28.305,28.52,28.52,2426511.0,0.0,1.0,WOW
2018-11-18,28.56,28.75,28.515,28.65,28.65,1751041.0,0.0,1.0,WOW
2018-11-15,29.12,29.15,28.74,28.76,28.76,1716519.0,0.0,1.0,WOW
2018-11-14,29.3,29.39,28.67,28.95,28.95,2864459.0,0.0,1.0,WOW
2018-11-13,29.55,29.6,29.07,29.16,29.16,2617881.0,0.0,1.0,WOW
2018-11-12,29.71,29.85,29.54,29.6,29.6,2767401.0,0.0,1.0,WOW
2018-11-11,29.44,29.88,29.07,29.83,29.83,2807811.0,0.0,1.0,WOW
2018-11-08,29.12,29.58,29.11,29.42,29.42,1345703.0,0.0,1.0,WOW
2018-11-07,29.09,29.48,29.05,29.35,29.35,2098839.0,0.0,1.0,WOW
2018-11-06,29.02,29.14,28.73,29.05,29.05,2129402.0,0.0,1.0,WOW
2018-11-05,28.84,29.08,28.75,29.0,29.0,2280665.0,0.0,1.0,WOW
2018-11-04,28.53,29.1,28.53,28.81,28.81,2639387.0,0.0,1.0,WOW
2018-11-01,28.5,28.64,28.15,28.6,28.6,3668331.0,0.0,1.0,WOW
2018-10-31,28.62,29.05,28.5,28.7,28.7,5190182.0,0.0,1.0,WOW
2018-10-30,28.21,28.44,28.115,28.43,28.43,3969644.0,0.0,1.0,WOW
2018-10-29,27.9,28.4,27.89,28.31,28.31,2687979.0,0.0,1.0,WOW
2018-10-28,27.4,28.14,27.35,27.98,27.98,2812080.0,0.0,1.0,WOW
